Date,Time,T1,T2, T3,T4, Scale
2024/06/25,16:16:07,61.8,67.3,19.2,25.9,C
2024/06/25,16:26:07,61.6,67.4,19.3,25.8,C
2024/06/25,16:36:07,62.4,67.8,19.4,24.8,C
2024/06/25,16:46:07,62.4,67.9,20.4,25.5,C
2024/06/25,16:56:07,62.6,67.9,20.8,26.8,C
2024/06/25,17:06:07,62.7,67.6,20.9,24.4,C
2024/06/25,17:16:07,62.6,67.6,20.6,23.8,C
2024/06/25,17:26:07,62.5,67.4,20.5,24.6,C
2024/06/25,17:36:07,62.8,67.0,20.4,24.0,C
2024/06/25,17:46:07,62.8,66.7,20.3,21.9,C
2024/06/25,17:56:07,62.9,66.3,20.1,19.8,C
2024/06/25,18:06:07,62.7,65.9,19.9,18.6,C
2024/06/25,18:16:07,62.7,65.6,19.7,17.9,C
2024/06/25,18:26:07,62.6,65.2,19.4,17.7,C
2024/06/25,18:36:07,62.5,64.8,19.3,18.1,C
2024/06/25,18:46:07,62.6,64.5,19.1,18.3,C
2024/06/25,18:56:07,62.4,64.1,19.0,18.3,C
2024/06/25,19:06:07,62.3,63.8,18.8,18.0,C
2024/06/25,19:16:07,62.3,63.4,18.6,17.8,C
2024/06/25,19:26:07,62.4,63.1,18.5,17.6,C
2024/06/25,19:36:07,61.7,62.8,18.3,17.4,C
2024/06/25,19:46:07,62.0,62.5,18.2,17.2,C
2024/06/25,19:56:07,61.9,62.2,18.1,16.8,C
2024/06/25,20:06:07,61.4,61.8,17.9,16.4,C
2024/06/25,20:16:07,61.6,61.6,17.8,16.1,C
2024/06/25,20:26:07,61.2,61.2,17.7,15.6,C
2024/06/25,20:36:07,61.1,60.9,17.6,15.3,C
2024/06/25,20:46:07,60.7,60.6,17.6,14.8,C
2024/06/25,20:56:07,60.4,60.3,17.4,14.6,C
2024/06/25,21:06:07,60.5,60.0,16.8,14.8,C
2024/06/25,21:16:07,60.2,59.7,16.9,15.1,C
2024/06/25,21:26:07,59.8,59.4,16.9,15.1,C
2024/06/25,21:36:07,59.8,59.1,16.9,15.1,C
2024/06/25,21:46:07,59.4,58.8,16.9,14.9,C
2024/06/25,21:56:07,59.1,58.5,16.8,14.8,C
2024/06/25,22:06:07,58.8,58.2,16.8,14.6,C
2024/06/25,22:16:07,58.6,57.9,16.8,14.4,C
2024/06/25,22:26:07,58.7,57.6,16.7,14.3,C
2024/06/25,22:36:07,58.4,57.3,16.7,14.0,C
2024/06/25,22:46:07,57.9,57.1,16.7,13.8,C
2024/06/25,22:56:07,57.9,56.8,16.6,13.7,C
2024/06/25,23:06:07,57.3,56.6,16.6,13.4,C
2024/06/25,23:16:07,57.0,56.3,16.6,13.2,C
2024/06/25,23:26:07,57.1,56.1,16.4,12.9,C
2024/06/25,23:36:07,56.8,55.7,16.4,12.7,C
2024/06/25,23:46:07,56.4,55.5,16.4,12.4,C
2024/06/25,23:56:07,56.3,55.2,16.4,12.2,C
2024/06/26,00:06:07,56.1,55.0,16.4,11.9,C
