Date,Time,T1,T2, T3,T4, Scale
2024/05/29,09:32:54,20.9,20.3,19.7,-OL,C
2024/05/29,09:42:54,20.9,20.6,19.6,-OL,C
2024/05/29,09:52:54,21.2,21.0,19.8,-OL,C
2024/05/29,10:02:54,22.3,21.4,20.1,-OL,C
2024/05/29,10:12:54,22.3,22.1,20.3,-OL,C
2024/05/29,10:22:54,24.7,22.4,20.6,-OL,C
2024/05/29,10:32:54,26.1,23.1,21.2,-OL,C
2024/05/29,10:42:54,27.2,24.4,21.8,-OL,C
2024/05/29,10:52:54,27.4,24.7,22.1,-OL,C
2024/05/29,11:02:54,28.0,26.0,22.8,-OL,C
2024/05/29,11:12:54,29.0,26.7,23.7,-OL,C
2024/05/29,11:22:54,30.3,27.9,24.9,-OL,C
2024/05/29,11:32:54,29.8,28.7,25.3,-OL,C
2024/05/29,11:42:54,31.1,29.3,26.1,-OL,C
2024/05/29,11:52:54,30.7,30.2,26.5,-OL,C
2024/05/29,12:02:54,31.6,30.9,26.9,-OL,C
2024/05/29,12:12:54,30.1,31.7,26.9,-OL,C
2024/05/29,12:22:54,30.1,32.4,26.6,-OL,C
2024/05/29,12:32:54,29.8,32.9,26.4,-OL,C
2024/05/29,12:42:54,30.6,33.7,26.2,-OL,C
2024/05/29,12:52:54,31.4,34.4,25.9,-OL,C
2024/05/29,13:02:54,32.2,35.4,25.8,-OL,C
2024/05/29,13:12:54,32.3,35.8,25.8,-OL,C
2024/05/29,13:22:54,32.7,36.3,25.7,-OL,C
2024/05/29,13:32:54,32.1,36.7,25.5,-OL,C
2024/05/29,13:42:54,37.5,36.7,25.5,-OL,C
2024/05/29,13:52:54,34.3,36.9,25.4,-OL,C
2024/05/29,14:02:54,32.9,37.2,25.5,-OL,C
2024/05/29,14:12:54,37.6,37.2,25.6,-OL,C
2024/05/29,14:22:54,35.2,37.3,25.4,-OL,C
2024/05/29,14:32:54,38.7,37.5,25.2,-OL,C
2024/05/29,14:42:54,36.7,37.5,25.2,-OL,C
2024/05/29,14:52:54,33.8,37.8,25.0,-OL,C
2024/05/29,15:02:54,38.9,37.9,24.9,-OL,C
2024/05/29,15:12:54,37.7,37.7,24.6,-OL,C
2024/05/29,15:22:54,39.1,37.7,24.4,-OL,C
2024/05/29,15:32:54,38.3,37.7,24.2,-OL,C
2024/05/29,15:42:54,39.2,37.8,24.1,-OL,C
2024/05/29,15:52:54,38.7,37.8,24.0,-OL,C
2024/05/29,16:02:54,34.3,38.4,23.9,-OL,C
2024/05/29,16:12:54,38.8,38.6,23.7,-OL,C
2024/05/29,16:22:54,38.6,38.4,23.6,-OL,C
2024/05/29,16:32:54,39.6,38.3,23.5,-OL,C
2024/05/29,16:42:54,38.9,38.2,23.1,-OL,C
2024/05/29,16:52:54,39.8,38.1,22.9,-OL,C
2024/05/29,17:02:54,39.8,38.1,22.8,-OL,C
2024/05/29,17:12:54,39.8,37.8,22.6,-OL,C
2024/05/29,17:22:54,39.6,37.7,22.2,-OL,C
2024/05/29,17:32:54,39.3,37.7,22.0,-OL,C
