Date,Time,T1,T2, T3,T4, Scale
2024/06/12,09:30:49,40.1,39.7,19.1,-OL,C
2024/06/12,09:40:49,41.2,40.6,19.4,-OL,C
2024/06/12,09:50:49,41.7,41.1,19.6,-OL,C
2024/06/12,10:00:49,41.6,41.2,19.6,-OL,C
2024/06/12,10:10:49,41.8,41.7,19.2,-OL,C
2024/06/12,10:20:49,42.3,42.2,19.6,20.6,C
2024/06/12,10:30:49,42.3,41.9,20.2,20.6,C
2024/06/12,10:40:49,42.6,42.0,20.2,20.2,C
2024/06/12,10:50:49,42.8,42.2,20.2,20.4,C
2024/06/12,11:00:49,42.7,42.3,20.3,20.3,C
2024/06/12,11:10:49,43.2,42.6,20.6,20.7,C
2024/06/12,11:20:49,44.2,43.4,20.9,21.7,C
2024/06/12,11:30:49,44.2,43.7,20.9,21.4,C
2024/06/12,11:40:49,44.2,43.7,21.2,21.2,C
2024/06/12,11:50:49,44.7,44.1,21.2,21.3,C
2024/06/12,12:00:49,45.2,44.4,21.3,21.1,C
2024/06/12,12:10:49,45.3,44.7,21.5,21.1,C
2024/06/12,12:20:49,45.8,45.1,21.7,21.6,C
2024/06/12,12:30:49,45.8,45.2,21.8,21.6,C
2024/06/12,12:40:49,47.2,45.9,22.1,22.2,C
2024/06/12,12:50:49,47.7,46.8,22.3,22.2,C
2024/06/12,13:00:49,47.6,46.8,22.3,21.7,C
2024/06/12,13:10:49,48.4,47.2,22.2,22.4,C
2024/06/12,13:20:49,48.3,47.6,22.3,23.2,C
2024/06/12,13:30:49,48.4,47.7,22.4,22.3,C
2024/06/12,13:40:49,48.6,47.8,22.7,22.8,C
2024/06/12,13:50:49,48.6,47.8,22.7,22.3,C
2024/06/12,14:00:49,48.8,47.9,23.2,23.7,C
2024/06/12,14:10:49,48.9,48.1,23.1,22.9,C
2024/06/12,14:20:49,48.8,48.1,23.1,22.6,C
2024/06/12,14:30:49,48.7,48.1,23.1,23.7,C
2024/06/12,14:40:49,48.8,48.2,23.1,22.7,C
2024/06/12,14:50:49,48.6,48.0,23.1,22.6,C
2024/06/12,15:00:49,48.9,48.1,22.6,21.9,C
2024/06/12,15:10:49,48.8,48.0,22.7,21.4,C
2024/06/12,15:20:49,48.8,47.8,22.6,21.6,C
2024/06/12,15:30:49,48.8,47.9,22.6,21.4,C
2024/06/12,15:40:49,48.9,48.1,22.6,21.4,C
2024/06/12,15:50:49,48.8,48.1,22.6,21.4,C
2024/06/12,16:00:49,48.9,48.4,22.3,21.3,C
2024/06/12,16:10:49,48.9,48.2,22.3,21.4,C
2024/06/12,16:20:49,48.4,20.2,21.3,21.2,C
2024/06/12,16:30:49,48.7,48.0,22.2,20.6,C
2024/06/12,16:40:49,48.9,48.2,22.2,20.6,C
2024/06/12,16:50:49,48.9,48.2,22.3,20.8,C
2024/06/12,17:00:49,48.7,48.1,22.1,20.6,C
2024/06/12,17:10:49,48.4,48.0,22.0,20.4,C
2024/06/12,17:20:49,48.6,47.9,21.9,20.1,C
2024/06/12,17:30:49,48.3,47.7,21.7,19.8,C
2024/06/12,17:40:49,48.2,47.4,21.5,19.4,C
2024/06/12,17:50:49,48.1,47.3,21.3,19.1,C
2024/06/12,18:00:49,48.0,47.1,21.2,18.7,C
2024/06/12,18:10:49,47.8,46.9,20.9,18.1,C
2024/06/12,18:20:49,47.7,46.7,20.7,17.3,C
2024/06/12,18:30:49,47.7,46.5,20.5,16.7,C
2024/06/12,18:40:49,47.4,46.2,20.2,15.9,C
2024/06/12,18:50:49,47.1,46.0,20.0,15.5,C
2024/06/12,19:00:49,47.0,45.8,19.8,15.1,C
2024/06/12,19:10:49,46.8,45.6,19.6,15.0,C
2024/06/12,19:20:49,46.7,45.3,19.4,14.7,C
2024/06/12,19:30:49,46.4,45.1,19.4,14.4,C
2024/06/12,19:40:49,46.2,45.0,19.3,14.3,C
2024/06/12,19:50:49,45.8,44.8,19.2,14.1,C
2024/06/12,20:00:49,45.7,44.5,19.2,14.1,C
2024/06/12,20:10:49,45.5,44.3,19.1,14.1,C
2024/06/12,20:20:49,45.2,44.2,19.1,14.1,C
2024/06/12,20:30:49,45.0,43.9,19.1,13.9,C
2024/06/12,20:40:49,44.9,43.7,18.8,13.9,C
2024/06/12,20:50:49,44.7,43.6,18.8,13.9,C
2024/06/12,21:00:49,44.2,43.3,18.7,14.2,C
2024/06/12,21:10:49,44.1,43.2,18.6,14.3,C
2024/06/12,21:20:49,43.9,43.1,18.7,14.5,C
2024/06/12,21:30:49,43.8,43.0,18.7,14.7,C
2024/06/12,21:40:49,43.6,42.8,18.7,14.7,C
2024/06/12,21:50:49,43.4,42.7,18.7,14.6,C
2024/06/12,22:00:49,43.3,42.6,18.6,14.4,C
2024/06/12,22:10:49,43.0,42.4,18.6,14.3,C
2024/06/12,22:20:49,42.6,42.2,18.6,14.4,C
2024/06/12,22:30:49,42.2,42.1,18.6,14.6,C
2024/06/12,22:40:49,42.1,41.8,18.6,14.6,C
2024/06/12,22:50:49,42.4,41.7,18.6,14.6,C
2024/06/12,23:00:49,41.9,41.6,18.6,14.7,C
2024/06/12,23:10:49,41.6,41.5,18.6,14.4,C
2024/06/12,23:20:49,41.7,41.3,18.6,14.4,C
2024/06/12,23:30:49,41.4,41.2,18.5,14.1,C
2024/06/12,23:40:49,41.2,41.1,18.4,13.7,C
2024/06/12,23:50:49,41.1,40.8,18.4,13.3,C
2024/06/13,00:00:49,40.9,40.7,18.4,13.1,C
2024/06/13,00:10:49,40.6,40.6,18.2,12.9,C
2024/06/13,00:20:49,40.5,40.4,18.2,12.6,C
2024/06/13,00:30:49,40.2,40.3,18.1,12.5,C
2024/06/13,00:40:49,40.2,40.1,18.1,12.3,C
2024/06/13,00:50:49,39.8,40.0,18.1,12.1,C
2024/06/13,01:00:49,39.6,39.9,18.1,11.9,C
2024/06/13,01:10:49,39.6,39.7,18.1,11.9,C
2024/06/13,01:20:49,39.4,39.5,18.1,11.8,C
2024/06/13,01:30:49,39.2,39.4,18.0,11.8,C
2024/06/13,01:40:49,39.0,39.3,18.0,11.7,C
2024/06/13,01:50:49,38.9,39.1,18.0,11.7,C
2024/06/13,02:00:49,38.8,38.9,17.9,11.6,C
2024/06/13,02:10:49,38.6,38.8,17.9,11.4,C
2024/06/13,02:20:49,38.4,38.7,17.9,11.3,C
2024/06/13,02:30:49,38.2,38.6,17.8,11.0,C
2024/06/13,02:40:49,38.1,38.4,17.8,10.8,C
2024/06/13,02:50:49,37.9,38.3,17.6,10.8,C
2024/06/13,03:00:49,37.9,38.1,17.6,10.6,C
2024/06/13,03:10:49,37.7,37.9,17.6,10.5,C
2024/06/13,03:20:49,37.5,37.8,17.6,10.5,C
2024/06/13,03:30:49,37.3,37.7,17.5,10.2,C
2024/06/13,03:40:49,37.2,37.5,17.5,9.9,C
2024/06/13,03:50:49,37.1,37.3,17.4,9.8,C
2024/06/13,04:00:49,36.9,37.2,17.4,9.8,C
2024/06/13,04:10:49,36.8,37.1,17.4,9.7,C
2024/06/13,04:20:49,36.7,36.9,17.4,9.7,C
2024/06/13,04:30:49,36.4,36.8,17.4,9.6,C
2024/06/13,04:40:49,36.4,36.6,17.4,9.4,C
2024/06/13,04:50:49,36.1,36.5,17.2,9.2,C
2024/06/13,05:00:49,36.0,36.4,17.2,9.2,C
2024/06/13,05:10:49,35.9,36.3,17.2,9.1,C
2024/06/13,05:20:49,35.6,36.2,17.1,8.8,C
2024/06/13,05:30:49,35.5,35.9,17.2,8.8,C
2024/06/13,05:40:49,35.4,35.8,17.2,8.8,C
2024/06/13,05:50:49,35.2,35.7,17.2,8.8,C
2024/06/13,06:00:49,35.1,35.6,17.2,8.8,C
2024/06/13,06:10:49,34.9,35.4,17.1,8.7,C
2024/06/13,06:20:49,34.8,35.2,17.1,8.7,C
2024/06/13,06:30:49,34.7,35.1,17.1,8.6,C
2024/06/13,06:40:49,34.5,34.9,17.1,8.7,C
2024/06/13,06:50:49,34.4,34.8,17.0,8.6,C
2024/06/13,07:00:49,34.3,34.8,17.0,8.6,C
2024/06/13,07:10:49,34.1,34.7,17.1,8.8,C
2024/06/13,07:20:49,33.9,34.7,17.1,9.3,C
2024/06/13,07:30:49,33.9,34.6,17.3,9.8,C
2024/06/13,07:40:49,34.0,34.7,17.4,10.7,C
2024/06/13,07:50:49,34.2,34.8,17.4,11.9,C
2024/06/13,08:00:49,34.2,34.9,17.6,12.4,C
2024/06/13,08:10:49,34.1,34.9,17.8,12.7,C
2024/06/13,08:20:49,34.1,34.9,17.8,12.8,C
2024/06/13,08:30:49,34.2,35.1,17.9,13.1,C
2024/06/13,08:40:49,34.5,35.2,18.2,14.0,C
2024/06/13,08:50:49,34.7,35.3,18.4,14.4,C
2024/06/13,09:00:49,35.8,35.7,18.4,15.1,C
2024/06/13,09:10:49,35.7,36.0,18.6,15.4,C
2024/06/13,09:20:49,35.7,36.1,18.7,15.2,C
2024/06/13,09:30:49,36.7,36.7,18.7,15.9,C
2024/06/13,09:40:49,37.8,37.4,18.8,16.9,C
2024/06/13,09:50:49,38.1,38.0,18.9,17.0,C
2024/06/13,10:00:49,39.6,38.9,18.9,17.1,C
2024/06/13,10:10:49,40.9,40.1,18.8,17.8,C
2024/06/13,10:20:49,41.6,41.4,18.8,19.8,C
2024/06/13,10:30:49,43.0,42.2,19.1,21.0,C
2024/06/13,10:40:49,44.5,43.3,19.8,22.4,C
2024/06/13,10:50:49,45.3,44.4,20.7,23.7,C
2024/06/13,11:00:49,46.6,45.7,21.6,25.0,C
2024/06/13,11:10:49,48.0,46.8,22.5,25.1,C
2024/06/13,11:20:49,48.7,48.1,23.5,24.6,C
2024/06/13,11:30:49,50.3,49.2,24.5,23.0,C
2024/06/13,11:40:49,51.6,50.1,25.1,22.1,C
2024/06/13,11:50:49,51.9,51.4,25.7,21.8,C
2024/06/13,12:00:49,49.6,52.4,26.2,21.7,C
2024/06/13,12:10:49,52.1,53.4,25.9,21.4,C
2024/06/13,12:20:49,54.8,54.4,25.8,21.6,C
2024/06/13,12:30:49,56.6,55.3,25.4,21.6,C
2024/06/13,12:40:49,54.8,56.3,25.4,21.7,C
2024/06/13,12:50:49,51.3,57.2,25.1,22.0,C
2024/06/13,13:00:49,51.9,57.8,25.1,22.3,C
2024/06/13,13:10:49,50.5,58.1,24.7,22.4,C
2024/06/13,13:20:49,59.4,57.9,23.9,23.3,C
2024/06/13,13:30:49,58.5,57.6,23.9,23.9,C
2024/06/13,13:40:49,58.5,57.1,23.9,23.6,C
2024/06/13,13:50:49,58.2,56.8,23.9,24.1,C
2024/06/13,14:00:49,58.2,56.6,24.0,23.9,C
2024/06/13,14:10:49,57.9,56.6,24.0,24.1,C
2024/06/13,14:20:49,57.9,56.4,24.0,24.2,C
2024/06/13,14:30:49,57.6,56.4,23.9,23.5,C
2024/06/13,14:40:49,57.7,56.0,23.2,22.9,C
2024/06/13,14:50:49,57.4,55.7,23.1,21.9,C
2024/06/13,15:00:49,57.3,55.6,23.1,21.9,C
2024/06/13,15:10:49,57.0,55.2,23.0,21.9,C
2024/06/13,15:20:49,56.9,54.9,23.0,22.0,C
2024/06/13,15:30:49,56.8,54.8,22.9,21.9,C
2024/06/13,15:40:49,56.6,54.8,22.7,21.9,C
2024/06/13,15:50:49,56.3,54.8,22.6,22.4,C
2024/06/13,16:00:49,56.2,54.8,22.5,22.4,C
2024/06/13,16:10:49,56.2,54.7,22.4,21.8,C
2024/06/13,16:20:49,56.0,54.3,22.3,21.1,C
2024/06/13,16:30:49,55.8,54.6,22.3,21.1,C
2024/06/13,16:40:49,55.9,54.7,22.3,21.3,C
2024/06/13,16:50:49,55.7,54.4,22.0,20.8,C
2024/06/13,17:00:49,55.3,54.1,21.8,20.2,C
2024/06/13,17:10:49,55.3,53.8,21.7,20.0,C
2024/06/13,17:20:49,55.2,53.5,21.6,19.7,C
2024/06/13,17:30:49,54.9,53.3,21.4,19.5,C
2024/06/13,17:40:49,3.1,53.1,21.2,19.6,C
2024/06/13,17:50:49,11.1,52.8,21.1,19.6,C
2024/06/13,18:00:49,14.6,52.7,20.9,19.4,C
2024/06/13,18:10:49,17.9,52.4,20.7,18.7,C
2024/06/13,18:20:49,18.6,52.1,20.4,18.0,C
2024/06/13,18:30:49,19.0,51.8,20.2,17.5,C
2024/06/13,18:40:49,19.2,51.6,20.0,16.9,C
2024/06/13,18:50:49,23.9,51.4,19.7,16.3,C
2024/06/13,19:00:49,26.2,51.1,19.5,15.9,C
2024/06/13,19:10:49,29.3,50.9,19.3,15.6,C
2024/06/13,19:20:49,25.4,50.7,19.1,15.2,C
2024/06/13,19:30:49,20.2,50.4,18.8,15.0,C
2024/06/13,19:40:49,19.4,50.2,18.7,14.8,C
2024/06/13,19:50:49,19.4,49.9,18.7,14.8,C
2024/06/13,20:00:49,20.2,49.7,18.8,14.9,C
2024/06/13,20:10:49,18.4,49.4,18.9,15.1,C
2024/06/13,20:20:49,16.8,49.2,18.9,15.1,C
2024/06/13,20:30:49,48.9,49.0,18.8,14.9,C
2024/06/13,20:40:49,48.6,48.8,18.7,14.8,C
2024/06/13,20:50:49,48.6,48.6,18.7,14.7,C
2024/06/13,21:00:49,48.3,48.4,18.7,14.7,C
2024/06/13,21:10:49,48.4,48.2,18.7,14.7,C
2024/06/13,21:20:49,48.2,47.9,18.7,14.7,C
2024/06/13,21:30:49,48.2,47.7,18.7,14.8,C
2024/06/13,21:40:49,48.1,47.6,18.7,14.9,C
2024/06/13,21:50:49,47.8,47.3,18.6,14.8,C
2024/06/13,22:00:49,47.5,47.2,18.4,14.4,C
2024/06/13,22:10:49,47.4,47.0,18.3,13.9,C
2024/06/13,22:20:49,47.3,46.8,18.1,13.7,C
2024/06/13,22:30:49,47.0,46.6,17.9,13.5,C
2024/06/13,22:40:49,46.8,46.5,17.8,13.4,C
2024/06/13,22:50:49,46.6,46.3,17.7,13.3,C
2024/06/13,23:00:49,46.0,46.1,17.6,13.1,C
2024/06/13,23:10:49,46.1,45.9,17.6,13.1,C
2024/06/13,23:20:49,45.9,45.8,17.7,13.2,C
2024/06/13,23:30:49,45.6,45.6,17.7,13.4,C
2024/06/13,23:40:49,45.3,45.4,17.7,13.5,C
2024/06/13,23:50:49,45.4,45.2,17.7,13.3,C
2024/06/14,00:00:49,44.9,45.1,17.7,13.0,C
2024/06/14,00:10:49,44.8,44.8,17.7,12.8,C
2024/06/14,00:20:49,44.6,44.7,17.6,12.7,C
2024/06/14,00:30:49,44.3,44.5,17.5,12.6,C
2024/06/14,00:40:49,44.0,44.4,17.5,12.6,C
2024/06/14,00:50:49,43.7,44.1,17.5,12.3,C
2024/06/14,01:00:49,43.5,44.0,17.4,12.2,C
2024/06/14,01:10:49,43.6,43.8,17.4,12.0,C
2024/06/14,01:20:49,43.4,43.7,17.4,11.8,C
2024/06/14,01:30:49,43.2,43.6,17.2,11.7,C
2024/06/14,01:40:49,43.1,43.3,17.2,11.5,C
2024/06/14,01:50:49,42.8,43.1,17.1,11.4,C
2024/06/14,02:00:49,42.6,42.9,17.0,11.3,C
2024/06/14,02:10:49,42.4,42.8,17.0,11.2,C
2024/06/14,02:20:49,42.2,42.6,17.0,10.9,C
2024/06/14,02:30:49,42.2,42.3,17.0,10.8,C
2024/06/14,02:40:49,42.0,42.2,17.0,10.8,C
2024/06/14,02:50:49,41.7,42.1,17.0,10.7,C
2024/06/14,03:00:49,41.5,41.9,17.0,10.5,C
2024/06/14,03:10:49,41.2,41.8,17.0,10.5,C
2024/06/14,03:20:49,41.2,41.6,16.9,10.4,C
2024/06/14,03:30:49,41.0,41.4,16.9,10.3,C
2024/06/14,03:40:49,40.8,41.2,16.8,10.3,C
2024/06/14,03:50:49,40.7,41.1,16.8,10.0,C
2024/06/14,04:00:49,40.4,40.9,16.8,9.9,C
2024/06/14,04:10:49,40.3,40.7,16.8,9.9,C
2024/06/14,04:20:49,40.2,40.6,16.7,9.8,C
2024/06/14,04:30:49,39.9,40.3,16.7,9.7,C
2024/06/14,04:40:49,39.7,40.2,16.7,9.6,C
2024/06/14,04:50:49,39.7,40.0,16.6,9.6,C
2024/06/14,05:00:49,39.4,39.9,16.6,9.4,C
2024/06/14,05:10:49,39.3,39.8,16.6,9.2,C
2024/06/14,05:20:49,39.2,39.6,16.4,9.1,C
2024/06/14,05:30:49,39.3,39.4,16.4,9.1,C
2024/06/14,05:40:49,38.8,39.3,16.4,9.1,C
2024/06/14,05:50:49,38.7,39.1,16.4,9.1,C
2024/06/14,06:00:49,38.6,38.9,16.4,9.3,C
2024/06/14,06:10:49,38.4,38.7,16.6,9.7,C
2024/06/14,06:20:49,38.2,38.6,16.6,9.8,C
2024/06/14,06:30:49,38.2,38.4,16.6,9.8,C
2024/06/14,06:40:49,37.8,38.2,16.6,10.0,C
2024/06/14,06:50:49,37.7,38.1,16.6,10.0,C
2024/06/14,07:00:49,37.7,38.0,16.7,10.3,C
2024/06/14,07:10:49,37.6,38.0,16.7,10.5,C
2024/06/14,07:20:49,37.4,37.9,16.7,10.6,C
2024/06/14,07:30:49,37.2,37.9,16.8,10.9,C
2024/06/14,07:40:49,37.2,37.9,16.8,11.1,C
2024/06/14,07:50:49,37.2,37.9,16.9,11.1,C
2024/06/14,08:00:49,36.9,37.8,16.9,11.6,C
2024/06/14,08:10:49,37.8,38.3,17.1,14.3,C
2024/06/14,08:20:49,38.5,38.6,17.2,16.1,C
2024/06/14,08:30:49,38.8,39.1,17.3,17.0,C
2024/06/14,08:40:49,39.7,39.6,17.4,16.6,C
2024/06/14,08:50:49,40.3,40.1,17.7,16.4,C
2024/06/14,09:00:49,41.1,40.7,17.8,16.0,C
2024/06/14,09:10:49,41.8,41.4,17.9,15.9,C
2024/06/14,09:20:49,42.4,42.2,18.0,16.1,C
2024/06/14,09:30:49,42.9,42.9,18.1,16.3,C
2024/06/14,09:40:49,44.2,44.0,17.8,16.7,C
2024/06/14,09:50:49,44.9,44.8,17.8,17.2,C
2024/06/14,10:00:49,46.2,45.8,17.8,17.4,C
2024/06/14,10:10:49,47.6,46.9,18.0,18.0,C
2024/06/14,10:20:49,48.4,47.4,19.1,19.7,C
2024/06/14,10:30:49,49.6,48.9,18.6,21.2,C
2024/06/14,10:40:49,50.6,49.9,19.0,21.9,C
2024/06/14,10:50:49,51.4,51.0,19.7,22.7,C
2024/06/14,11:00:49,52.8,52.1,20.8,23.3,C
2024/06/14,11:10:49,53.8,53.1,21.9,23.9,C
2024/06/14,11:20:49,54.7,54.1,22.9,24.2,C
2024/06/14,11:30:49,55.8,55.2,24.1,23.7,C
2024/06/14,11:40:49,56.8,56.1,24.8,23.1,C
2024/06/14,11:50:49,57.6,56.9,25.3,22.6,C
2024/06/14,12:00:49,58.0,57.6,26.0,22.4,C
2024/06/14,12:10:49,54.6,58.6,26.3,22.6,C
2024/06/14,12:20:49,45.4,59.4,25.9,22.9,C
2024/06/14,12:30:49,48.8,60.5,25.9,23.1,C
2024/06/14,12:40:49,52.4,61.3,25.4,23.0,C
2024/06/14,12:50:49,52.6,61.8,25.3,23.2,C
2024/06/14,13:00:49,49.7,62.1,25.2,23.7,C
2024/06/14,13:10:49,49.6,62.2,24.9,23.9,C
2024/06/14,13:20:49,49.5,62.4,25.1,24.7,C
2024/06/14,13:30:49,48.1,62.4,24.8,24.5,C
2024/06/14,13:40:49,47.7,62.5,24.6,24.4,C
2024/06/14,13:50:49,51.4,62.4,24.3,23.9,C
2024/06/14,14:00:49,51.4,62.4,24.2,23.9,C
2024/06/14,14:10:49,50.7,62.6,24.1,24.5,C
2024/06/14,14:20:49,60.0,62.4,23.9,25.1,C
2024/06/14,14:30:49,62.0,61.9,23.6,24.5,C
2024/06/14,14:40:49,61.7,61.6,23.6,23.6,C
2024/06/14,14:50:49,61.6,61.3,23.7,23.2,C
2024/06/14,15:00:49,61.6,60.9,23.7,22.9,C
2024/06/14,15:10:49,61.4,60.8,23.9,23.4,C
2024/06/14,15:20:49,60.3,60.4,23.9,23.5,C
2024/06/14,15:30:49,61.6,60.4,23.4,23.0,C
2024/06/14,15:40:49,61.2,60.3,23.3,22.7,C
2024/06/14,15:50:49,60.9,59.9,23.2,22.2,C
2024/06/14,16:00:49,60.8,59.7,23.1,22.2,C
2024/06/14,16:10:49,60.5,59.6,22.8,22.1,C
2024/06/14,16:20:49,60.4,59.2,22.8,21.9,C
2024/06/14,16:30:49,60.3,58.4,20.9,21.4,C
2024/06/14,16:40:49,60.5,58.8,20.3,21.6,C
2024/06/14,16:50:49,60.4,58.5,20.1,21.4,C
2024/06/14,17:00:49,60.2,58.2,20.2,21.9,C
2024/06/14,17:10:49,59.9,57.9,20.0,21.7,C
2024/06/14,17:20:49,59.8,57.5,19.9,21.3,C
