Place,Date,Time,Value,Unit
149,5/12/24,16:22:07,6200,LUX     
150,5/12/24,16:32:07,16640,LUX     
151,5/12/24,16:42:07,5910,LUX     
152,5/12/24,16:52:07,13590,LUX     
153,5/12/24,17:02:07,26700,LUX     
154,5/12/24,17:12:07,16020,LUX     
155,5/12/24,17:22:07,3870,LUX     
156,5/12/24,17:32:07,3650,LUX     
157,5/12/24,17:42:07,3350,LUX     
158,5/12/24,17:52:07,3240,LUX     
159,5/12/24,18:02:07,2640,LUX     
160,5/12/24,18:12:07,1330,LUX     
Place,Date,Time,Value,Unit
161,5/13/24,10:59:06,"00019,9",Ft cd   
Place,Date,Time,Value,Unit
162,5/14/24,8:18:47,8110,LUX     
163,5/14/24,8:28:47,15000,LUX     
164,5/14/24,8:38:47,16360,LUX     
165,5/14/24,8:48:47,15560,LUX     
Place,Date,Time,Value,Unit
166,5/14/24,11:11:56,98300,LUX     
Place,Date,Time,Value,Unit
167,5/18/24,9:02:16,23700,LUX     
168,5/18/24,9:12:15,55700,LUX     
169,5/18/24,9:22:15,58300,LUX     
170,5/18/24,9:32:15,29600,LUX     
171,5/18/24,9:42:15,49700,LUX     
172,5/18/24,9:52:15,78700,LUX     
173,5/18/24,10:02:15,76400,LUX     
174,5/18/24,10:12:15,79200,LUX     
175,5/18/24,10:22:15,26700,LUX     
176,5/18/24,10:32:15,95500,LUX     
177,5/18/24,10:42:15,41100,LUX     
178,5/18/24,10:52:15,38600,LUX     
179,5/18/24,11:02:15,92000,LUX     
180,5/18/24,11:12:15,95000,LUX     
181,5/18/24,11:22:15,47900,LUX     
182,5/18/24,11:32:15,99999,LUX     
183,5/18/24,11:42:15,96600,LUX     
184,5/18/24,11:52:15,99999,LUX     
185,5/18/24,12:02:15,38400,LUX     
186,5/18/24,12:12:15,99999,LUX     
187,5/18/24,12:22:15,99999,LUX     
188,5/18/24,12:32:15,99999,LUX     
189,5/18/24,12:42:15,79900,LUX     
190,5/18/24,12:52:15,12890,LUX     
191,5/18/24,13:02:15,99999,LUX     
192,5/18/24,13:12:15,97300,LUX     
193,5/18/24,13:22:15,89700,LUX     
194,5/18/24,13:32:15,26600,LUX     
195,5/18/24,13:42:15,20100,LUX     
196,5/18/24,13:52:15,20100,LUX     
197,5/18/24,14:02:15,34800,LUX     
198,5/18/24,14:12:15,29000,LUX     
199,5/18/24,14:22:15,19620,LUX     
200,5/18/24,14:32:15,26500,LUX     
201,5/18/24,14:42:15,14830,LUX     
202,5/18/24,14:52:15,13610,LUX     
203,5/18/24,15:02:15,18180,LUX     
204,5/18/24,15:12:15,13510,LUX     
205,5/18/24,15:22:15,16920,LUX     
206,5/18/24,15:32:15,12650,LUX     
207,5/18/24,15:42:15,10580,LUX     
208,5/18/24,15:52:15,11090,LUX     
209,5/18/24,16:02:15,15480,LUX     
210,5/18/24,16:12:15,10150,LUX     
211,5/18/24,16:22:15,7030,LUX     
212,5/18/24,16:32:15,5750,LUX     
213,5/18/24,16:42:15,2420,LUX     
214,5/18/24,16:52:15,2210,LUX     
215,5/18/24,17:02:15,1646,LUX     
216,5/18/24,17:12:15,1302,LUX     
217,5/18/24,17:22:15,1248,LUX     
218,5/18/24,17:32:15,1306,LUX     
219,5/18/24,17:42:15,919,LUX     
220,5/18/24,17:52:15,1275,LUX     
221,5/18/24,18:02:15,1169,LUX     
222,5/18/24,18:12:15,694,LUX     
223,5/18/24,18:22:15,357,LUX     
224,5/18/24,18:32:15,113,LUX     
225,5/18/24,18:42:15,9,LUX     
226,5/18/24,18:52:15,0,LUX     
227,5/18/24,19:02:15,0,LUX     
228,5/18/24,19:12:15,0,LUX     
229,5/18/24,19:22:15,0,LUX     
230,5/18/24,19:32:15,0,LUX     
231,5/18/24,19:42:15,0,LUX     
232,5/18/24,19:52:15,0,LUX     
233,5/18/24,20:02:15,0,LUX     
234,5/18/24,20:12:15,0,LUX     
235,5/18/24,20:22:15,0,LUX     
236,5/18/24,20:32:15,0,LUX     
237,5/18/24,20:42:15,0,LUX     
238,5/18/24,20:52:15,0,LUX     
239,5/18/24,21:02:15,0,LUX     
240,5/18/24,21:12:15,0,LUX     
241,5/18/24,21:22:15,0,LUX     
242,5/18/24,21:32:15,0,LUX     
243,5/18/24,21:42:15,0,LUX     
244,5/18/24,21:52:15,0,LUX     
245,5/18/24,22:02:15,0,LUX     
246,5/18/24,22:12:15,0,LUX     
247,5/18/24,22:22:15,0,LUX     
248,5/18/24,22:32:15,0,LUX     
249,5/18/24,22:42:15,0,LUX     
250,5/18/24,22:52:15,0,LUX     
251,5/18/24,23:02:15,0,LUX     
252,5/18/24,23:12:15,0,LUX     
253,5/18/24,23:22:15,0,LUX     
254,5/18/24,23:32:15,0,LUX     
255,5/18/24,23:42:15,0,LUX     
256,5/18/24,23:52:15,0,LUX     
257,5/19/24,0:02:15,0,LUX     
258,5/19/24,0:12:15,0,LUX     
259,5/19/24,0:22:15,0,LUX     
260,5/19/24,0:32:15,0,LUX     
261,5/19/24,0:42:15,0,LUX     
262,5/19/24,0:52:15,0,LUX     
263,5/19/24,1:02:15,0,LUX     
264,5/19/24,1:12:15,0,LUX     
265,5/19/24,1:22:15,0,LUX     
266,5/19/24,1:32:15,0,LUX     
267,5/19/24,1:42:15,0,LUX     
268,5/19/24,1:52:15,0,LUX     
269,5/19/24,2:02:15,0,LUX     
270,5/19/24,2:12:15,0,LUX     
271,5/19/24,2:22:15,0,LUX     
272,5/19/24,2:32:15,0,LUX     
273,5/19/24,2:42:15,0,LUX     
274,5/19/24,2:52:15,0,LUX     
275,5/19/24,3:02:15,0,LUX     
276,5/19/24,3:12:15,0,LUX     
277,5/19/24,3:22:15,0,LUX     
